true_class,predicted_class,count
HerbaceousVegetation,Forest,1776
Industrial,Residential,1540
SeaLake,Highway,1150
Forest,AnnualCrop,924
River,Highway,785
Pasture,AnnualCrop,739
PermanentCrop,AnnualCrop,737
SeaLake,Residential,649
Forest,HerbaceousVegetation,629
Pasture,HerbaceousVegetation,562
AnnualCrop,Highway,561
SeaLake,AnnualCrop,504
AnnualCrop,PermanentCrop,475
Residential,HerbaceousVegetation,357
HerbaceousVegetation,Highway,325
Forest,Highway,323
Highway,AnnualCrop,296
PermanentCrop,Residential,278
River,AnnualCrop,258
PermanentCrop,HerbaceousVegetation,255
