class_name,per_class_accuracy,sample_count,correct_count
apple_pie,0.712,250,178
baby_back_ribs,0.784,250,196
baklava,0.808,250,202
beef_carpaccio,0.8,250,200
beef_tartare,0.744,250,186
beet_salad,0.68,250,170
beignets,0.904,250,226
bibimbap,0.948,250,237
bread_pudding,0.696,250,174
breakfast_burrito,0.856,250,214
bruschetta,0.872,250,218
caesar_salad,0.952,250,238
cannoli,0.936,250,234
caprese_salad,0.852,250,213
carrot_cake,0.816,250,204
ceviche,0.716,250,179
cheese_plate,0.956,250,239
cheesecake,0.784,250,196
chicken_curry,0.84,250,210
chicken_quesadilla,0.78,250,195
chicken_wings,0.964,250,241
chocolate_cake,0.852,250,213
chocolate_mousse,0.652,250,163
churros,0.896,250,224
clam_chowder,0.764,250,191
club_sandwich,0.988,250,247
crab_cakes,0.86,250,215
creme_brulee,0.912,250,228
croque_madame,0.964,250,241
cup_cakes,0.788,250,197
deviled_eggs,0.924,250,231
donuts,0.96,250,240
dumplings,0.908,250,227
edamame,0.984,250,246
eggs_benedict,0.94,250,235
escargots,0.836,250,209
falafel,0.836,250,209
filet_mignon,0.528,250,132
fish_and_chips,0.932,250,233
foie_gras,0.676,250,169
french_fries,0.94,250,235
french_onion_soup,0.892,250,223
french_toast,0.84,250,210
fried_calamari,0.896,250,224
fried_rice,0.94,250,235
frozen_yogurt,0.952,250,238
garlic_bread,0.764,250,191
gnocchi,0.68,250,170
greek_salad,0.9,250,225
grilled_cheese_sandwich,0.708,250,177
grilled_salmon,0.864,250,216
guacamole,0.92,250,230
gyoza,0.844,250,211
hamburger,0.932,250,233
hot_and_sour_soup,0.904,250,226
hot_dog,0.956,250,239
huevos_rancheros,0.772,250,193
hummus,0.852,250,213
ice_cream,0.78,250,195
lasagna,0.872,250,218
lobster_bisque,0.896,250,224
lobster_roll_sandwich,0.952,250,238
macaroni_and_cheese,0.78,250,195
macarons,0.98,250,245
miso_soup,0.872,250,218
mussels,0.952,250,238
nachos,0.944,250,236
omelette,0.856,250,214
onion_rings,0.884,250,221
oysters,0.988,250,247
pad_thai,0.956,250,239
paella,0.884,250,221
pancakes,0.908,250,227
panna_cotta,0.76,250,190
peking_duck,0.856,250,214
pho,0.888,250,222
pizza,0.98,250,245
pork_chop,0.684,250,171
poutine,0.852,250,213
prime_rib,0.94,250,235
pulled_pork_sandwich,0.916,250,229
ramen,0.824,250,206
ravioli,0.492,250,123
red_velvet_cake,0.944,250,236
risotto,0.74,250,185
samosa,0.92,250,230
sashimi,0.976,250,244
scallops,0.804,250,201
seaweed_salad,0.98,250,245
shrimp_and_grits,0.916,250,229
spaghetti_bolognese,0.952,250,238
spaghetti_carbonara,0.956,250,239
spring_rolls,0.84,250,210
steak,0.5,250,125
strawberry_shortcake,0.832,250,208
sushi,0.864,250,216
tacos,0.804,250,201
takoyaki,0.88,250,220
tiramisu,0.844,250,211
tuna_tartare,0.736,250,184
waffles,0.888,250,222
