true_class,predicted_class,count
steak,prime_rib,70
cup_cakes,red_velvet_cake,47
filet_mignon,steak,47
beef_tartare,tuna_tartare,44
chocolate_mousse,chocolate_cake,40
filet_mignon,prime_rib,39
grilled_cheese_sandwich,club_sandwich,36
ravioli,lasagna,35
clam_chowder,lobster_bisque,32
strawberry_shortcake,red_velvet_cake,27
apple_pie,bread_pudding,25
onion_rings,fried_calamari,24
pork_chop,prime_rib,24
poutine,french_fries,24
steak,filet_mignon,24
huevos_rancheros,breakfast_burrito,21
miso_soup,hot_and_sour_soup,21
sushi,sashimi,21
steak,pork_chop,20
ice_cream,frozen_yogurt,19
