class_name,per_class_accuracy,sample_count,correct_count
apple_pie,0.74,250,185
baby_back_ribs,0.76,250,190
baklava,0.848,250,212
beef_carpaccio,0.76,250,190
beef_tartare,0.632,250,158
beet_salad,0.7,250,175
beignets,0.908,250,227
bibimbap,0.94,250,235
bread_pudding,0.512,250,128
breakfast_burrito,0.852,250,213
bruschetta,0.884,250,221
caesar_salad,0.96,250,240
cannoli,0.952,250,238
caprese_salad,0.884,250,221
carrot_cake,0.8,250,200
ceviche,0.688,250,172
cheese_plate,0.964,250,241
cheesecake,0.78,250,195
chicken_curry,0.8,250,200
chicken_quesadilla,0.764,250,191
chicken_wings,0.976,250,244
chocolate_cake,0.864,250,216
chocolate_mousse,0.628,250,157
churros,0.928,250,232
clam_chowder,0.792,250,198
club_sandwich,0.984,250,246
crab_cakes,0.872,250,218
creme_brulee,0.896,250,224
croque_madame,0.9,250,225
cup_cakes,0.772,250,193
deviled_eggs,0.94,250,235
donuts,0.948,250,237
dumplings,0.9,250,225
edamame,0.984,250,246
eggs_benedict,0.948,250,237
escargots,0.82,250,205
falafel,0.832,250,208
filet_mignon,0.356,250,89
fish_and_chips,0.924,250,231
foie_gras,0.612,250,153
french_fries,0.964,250,241
french_onion_soup,0.904,250,226
french_toast,0.892,250,223
fried_calamari,0.884,250,221
fried_rice,0.948,250,237
frozen_yogurt,0.948,250,237
garlic_bread,0.708,250,177
gnocchi,0.66,250,165
greek_salad,0.828,250,207
grilled_cheese_sandwich,0.744,250,186
grilled_salmon,0.832,250,208
guacamole,0.944,250,236
gyoza,0.868,250,217
hamburger,0.924,250,231
hot_and_sour_soup,0.832,250,208
hot_dog,0.948,250,237
huevos_rancheros,0.724,250,181
hummus,0.86,250,215
ice_cream,0.724,250,181
lasagna,0.8,250,200
lobster_bisque,0.88,250,220
lobster_roll_sandwich,0.976,250,244
macaroni_and_cheese,0.772,250,193
macarons,0.988,250,247
miso_soup,0.884,250,221
mussels,0.952,250,238
nachos,0.94,250,235
omelette,0.772,250,193
onion_rings,0.932,250,233
oysters,0.992,250,248
pad_thai,0.948,250,237
paella,0.888,250,222
pancakes,0.892,250,223
panna_cotta,0.68,250,170
peking_duck,0.836,250,209
pho,0.928,250,232
pizza,0.984,250,246
pork_chop,0.7,250,175
poutine,0.744,250,186
prime_rib,0.948,250,237
pulled_pork_sandwich,0.932,250,233
ramen,0.852,250,213
ravioli,0.524,250,131
red_velvet_cake,0.956,250,239
risotto,0.736,250,184
samosa,0.924,250,231
sashimi,0.896,250,224
scallops,0.728,250,182
seaweed_salad,0.976,250,244
shrimp_and_grits,0.86,250,215
spaghetti_bolognese,0.944,250,236
spaghetti_carbonara,0.952,250,238
spring_rolls,0.82,250,205
steak,0.508,250,127
strawberry_shortcake,0.836,250,209
sushi,0.9,250,225
tacos,0.796,250,199
takoyaki,0.856,250,214
tiramisu,0.788,250,197
tuna_tartare,0.712,250,178
waffles,0.868,250,217
