true_class,predicted_class,count
steak,prime_rib,86
filet_mignon,steak,72
beef_tartare,tuna_tartare,62
filet_mignon,prime_rib,58
cup_cakes,red_velvet_cake,52
poutine,french_fries,50
chocolate_mousse,chocolate_cake,46
grilled_cheese_sandwich,club_sandwich,38
ice_cream,frozen_yogurt,37
omelette,french_toast,27
bread_pudding,french_toast,26
huevos_rancheros,breakfast_burrito,26
strawberry_shortcake,red_velvet_cake,26
bread_pudding,apple_pie,25
garlic_bread,grilled_cheese_sandwich,25
pork_chop,prime_rib,25
baby_back_ribs,prime_rib,22
greek_salad,caesar_salad,22
clam_chowder,lobster_bisque,21
panna_cotta,cheesecake,21
